identificador_do_montador,nome_do_montador,identificador_boletim_montagem,data_da_montagem,media_de_valor_venda,nome_do_cliente,nome_produto,tipo_servico,adicional,motivo_valor_extra
2,david,B2026-036,2026-06-01,2100.00,Cliente Junho1,Sofá 3 Lugares,MONTAGEM,0,-
2,david,B2026-037,2026-06-01,950.00,Cliente Junho2,Cadeira Giratória,ASSISTENCIA_TECNICA,40.00,Rodízios novos
2,david,B2026-038,2026-06-02,3400.00,Cliente Junho3,Cozinha Planejada,MONTAGEM,180.00,Deslocamento
2,david,B2026-039,2026-06-03,1200.00,Cliente Junho4,Armário Banheiro,MONTAGEM,0,-
2,david,B2026-040,2026-06-03,780.00,Cliente Junho5,Mesa Centro,ASSISTENCIA_TECNICA,0,-
2,david,B2026-041,2026-06-04,4500.00,Cliente Junho6,Quarto Casal Completo,MONTAGEM,0,-
2,david,B2026-042,2026-06-04,2200.00,Cliente Junho7,Balcão Cozinha,DESMONTAGEM,0,-
2,david,B2026-043,2026-06-05,1600.00,Cliente Junho8,Rack TV,MONTAGEM,0,-
2,david,B2026-044,2026-06-05,3100.00,Cliente Junho9,Guarda-Roupa 8 Portas,MONTAGEM,120.00,Parafusos reforçados
2,david,B2026-045,2026-06-06,870.00,Cliente Junho10,Poltrona Reclinável,ASSISTENCIA_TECNICA,0,-
2,david,B2026-046,2026-06-06,2800.00,Cliente Junho11,Home Theater,MONTAGEM,0,-
2,david,B2026-047,2026-06-07,1900.00,Cliente Junho12,Estante Modular,MONTAGEM,0,-
2,david,B2026-048,2026-06-07,5200.00,Cliente Junho13,Sala Jantar Completa,MONTAGEM,200.00,Montagem extra cadeiras
2,david,B2026-049,2026-06-08,1400.00,Cliente Junho14,Painel TV 65",MONTAGEM,0,-
2,david,B2026-050,2026-06-08,650.00,Cliente Junho15,Cadeira Escritório,ASSISTENCIA_TECNICA,0,-
2,david,B2026-051,2026-06-09,3700.00,Cliente Junho16,Closet Casal,MONTAGEM,90.00,Puxadores extras
2,david,B2026-052,2026-06-09,1100.00,Cliente Junho17,Aparador Sala,ASSISTENCIA_TECNICA,0,-
2,david,B2026-053,2026-06-10,2600.00,Cliente Junho18,Cama Box Queen,MONTAGEM,0,-
2,david,B2026-054,2026-06-10,1800.00,Cliente Junho19,Mesa Escritório,MONTAGEM,0,-
2,david,B2026-055,2026-06-11,4100.00,Cliente Junho20,Quarto Infantil,MONTAGEM,150.00,Berço + cômoda
